Group	Family	Lineage	origin_plot	Origin_or_sister_distribution	Mad_endemics	Non_Mad_endemics	Crown_age	crown_age_plot	Stem_age	stem_age_plot	Source_short	Source_DOI_URL
Amphibians	Hyperoliidae	Heterixalus	Africa	Africa	11	0	NA	NA	21.6	21.6	Hime et al. 2021	https://doi.org/10.1093/sysbio/syaa034
Amphibians	Ptychadenidae	Ptychadena Malagasy clade	Africa	Africa	3	0	8.2	8.2	15.5	15.5	Zimkus et al. 2017	https://doi.org/10.1016/j.ympev.2016.09.018
Arthropods	Apidae	Hasinamelissa	Africa	Africa			22	22	38	38	Chenoweth & Schwarz 2011	https://doi.org/10.1111/j.1365-2699.2011.02488.x
Arthropods	Apidae	Hirashima	Africa	Africa			9	9	14	14	Rehan et al. 2010	https://doi.org/10.1016/j.ympev.2010.01.011
Arthropods	Apidae	Macrogalea	Africa	Africa			4	4	9	9	Chenoweth & Schwarz 2011	https://doi.org/10.1111/j.1365-2699.2011.02488.x
Arthropods	Buthidae	Grosphus	Africa	Africa	34	0	NA	NA	47.3	47.3	Santibáñez-López et al. 2020	https://doi.org/10.1101/2020.11.06.372045
Arthropods	Carabidae	Paussus Malagasy clade	Africa	Africa	86	0	2.6	2.6	5	5	Moore and Robertson 2014	https://doi.org/10.1016/j.cub.2014.09.022
Arthropods	Dytiscidae	Herophydrus-Heroceras Malagasy clade	Africa	Africa	6	0	24	24	40	40	Villastrigo et al. 2018	https://doi. org/10.1111/zsc.12255
Arthropods	Dytiscidae	Hygrotus Malagasy clade	Africa	Afria	6	0	22.5	22.5	38.4	38.4	Villastrigo et al. 2018	https://doi.org/10.1111/zsc.12255
Arthropods	Formicidae	Adetomyrma	Africa	Africa	9	0	NA	NA	42.01	42.01	Economo et al. 2018	https://doi.org/10.1038/s41467-018-04218-4
Arthropods	Formicidae	Terataner MG clade	Africa	Africa			4.09	4.09	7.08	7.08	Economo et al. 2018	https://doi.org/10.1038/s41467-018-04218-4
Arthropods	Gyrinidae	Aulonogyrus Malagasy clade	Africa	Africa	3	0	28	28	44.8	44.8	Gustafson 2018	https://www.senckenberg.de/en/science/senckenberg-publications/scientific-journals/arthropod-systematics-phylogeny/all-volumes/2018-2/
