"occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","genus_name","genus_reso","species_name","species_reso","genus","genus_no","class","class_no","phylum","phylum_no","lng","lat","cc","state","geogscale","paleolng","paleolat","geoplate","early_age.1","late_age.1","cx_int_no","early_int_no","late_int_no","formation","member","formation.1","member.1","stratscale","stratcomments","family","family_no","reid_no","order","order_no","late_interval","subgenus_name"
"259315","occurrence","25074","Vorona n. gen. berivotrensis n. sp.","species","64129","Vorona berivotrensis","species","64129","Maastrichtian","72.1","66","7030;7030","Vorona","n. gen.","berivotrensis","n. sp.","Vorona","64128","Aves","36616","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections",NA,NA,NA,NA,NA,NA,NA
"343957","occurrence","32366","Majungasaurus crenatissimus","species","53957","Majungasaurus crenatissimus","species","53957","Maastrichtian","72.1","66","8731;8731","Majungasaurus",NA,"crenatissimus",NA,"Majungasaurus","38582","Saurischia","38505","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian","Abelisauridae","53942",NA,NA,NA,NA,NA
"405967","occurrence","39074","Rapetosaurus n. gen. krausei n. sp.","species","57533","Rapetosaurus krausei","species","57533","Maastrichtian","72.1","66","24618;24618","Rapetosaurus","n. gen.","krausei","n. sp.","Rapetosaurus","57532","Saurischia","38505","Chordata","33815","46.583328","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed",NA,NA,NA,NA,NA,NA,NA,NA
"405968","occurrence","25074","Rapetosaurus krausei","species","57533","Rapetosaurus krausei","species","57533","Maastrichtian","72.1","66","10556;10556","Rapetosaurus",NA,"krausei",NA,"Rapetosaurus","57532","Saurischia","38505","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections",NA,NA,NA,NA,NA,NA,NA
"408132","occurrence","32366","Araripesuchus tsangatsangana n. sp.","species","157803","Araripesuchus tsangatsangana","species","157803","Maastrichtian","72.1","66","37070;37070","Araripesuchus",NA,"tsangatsangana","n. sp.","Araripesuchus","38390","Reptilia","36322","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian",NA,NA,"25277","Eosuchia","37795",NA,NA
"408133","occurrence","32366","Konkasaurus n. gen. mahalana n. sp.","species","57598","Konkasaurus mahalana","species","57598","Maastrichtian","72.1","66","10609;10609","Konkasaurus","n. gen.","mahalana","n. sp.","Konkasaurus","57597","Reptilia","36322","Chordata","33815","46.582222","-15.907778","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","described as Campanian but now considered Maastrichtian","Cordylidae","37965",NA,"Squamata","36379",NA,NA
"408134","occurrence","39265","Lavanify n. gen. miolaka n. sp.","species","57603","Lavanify miolaka","species","57603","Maastrichtian","72.1","66","10611;10611","Lavanify","n. gen.","miolaka","n. sp.","Lavanify","57602","Mammalia","36651","Chordata","33815","46.582500","-15.908611","MG","Mahajanga","small collection",43.75,-36.57,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member","Sudamericidae","57604",NA,NA,NA,NA,NA
"408135","occurrence","39266","Lavanify miolaka","species","57603","Lavanify miolaka","species","57603","Maastrichtian","72.1","66","10611;10611","Lavanify",NA,"miolaka",NA,"Lavanify","57602","Mammalia","36651","Chordata","33815","46.578609","-15.902778","MG","Mahajanga","small collection",43.75,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member","Sudamericidae","57604",NA,NA,NA,NA,NA
"471836","occurrence","25074","Rahona n. gen. ostromi n. sp.","species","64131","Rahonavis ostromi","species","64133","Maastrichtian","72.1","66","12456;12456","Rahona","n. gen.","ostromi","n. sp.","Rahonavis","64132","Saurischia","38505","Chordata","33815","46.583332","-15.900000","MG","Mahajanga","small collection",43.76,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","group of beds","three bonebeds: BB1, BB2, BB3 - which should eventually be separated into distinct collections","Dromaeosauridae","38561",NA,"Avetheropoda","55483",NA,NA
"471837","occurrence","39266","Zhelestidae indet.","family","67569","Zhelestidae","family","67569","Maastrichtian","72.1","66","42861;42861","Zhelestidae",NA,"indet.",NA,NA,NA,"Mammalia","36651","Chordata","33815","46.578609","-15.902778","MG","Mahajanga","small collection",43.75,-36.56,"702",72.1,66,"112","112","112","Maevarano","Anembalemba","Maevarano","Anembalemba","bed","""uppermost white sandstone unit"" = Anembalemba Member","Zhelestidae","67569","27402",NA,NA,NA,NA
